id;name;year_from;year_to
108;XD4;2018;2025
109;A110;1961;2025
110;A290;2024;2025
111;A310;1971;1985
112;A390;2025;2025
113;A610;1991;1995
114;GTA;1985;1990
115;А5;2023;2025
116;Work;2024;2025
117;Eagle;1979;1987
118;Gremlin;1970;1978
119;Hornet;1974;1975
120;Matador;1974;1978
121;Rambler Ambassador;1965;1972
122;Rambler Classic;1961;1966
123;HMMWV (Humvee);1984;2006
124;21541 Stalker;2018;2020
125;Alpha S;2021;2025
126;Alpha S5;2024;2025
127;Alpha S6;2025;2025
128;Alpha T;2020;2025
129;Alpha T5;2023;2025
130;Alpha T6;2025;2025
131;Kaola;2023;2025
132;T1;2025;2025
133;Atom;1996;2025
134;Nomad;2015;2025
135;10;1984;2006
136;24;1972;2006
137;Retona;1998;2003
138;Rocsta;1990;1998
139;Topic;1987;1999
140;Towner;1992;1999
141;Bulldog;1980;1982
142;Cygnet;2011;2013
143;DB11;2016;2023
144;DB12;2023;2025
145;DB5;1963;1965
146;DB6;1965;1970
147;DB7;1994;2003
148;DB9;2003;2016
149;DBS;1967;2024
150;DBX;2020;2025
151;DB AR1;2003;2004
152;Lagonda;1976;1997
153;Lagonda Taraf;2015;2016
154;One-77;2009;2012
155;Rapide;2010;2020
156;Tickford Capri;1982;1985
157;Vanquish;2001;2025
158;V12 Speedster;2020;2025
159;V12 Vantage;2009;2025
160;V12 Zagato;2011;2012
161;V8 Vantage;1969;2025
162;V8 Zagato;1986;1989
163;Valhalla;2025;2025
164;Valiant;2024;2025
165;Valkyrie;2021;2024
166;Valour;2023;2025
167;Virage;1988;2012
168;Vulcan;2015;2016
169;01;2025;2025
170;Speedster;1935;1937
171;100;1968;1994
172;200;1979;1991
173;50;1974;1978
174;80;1972;1996
175;90;1984;1995
176;920;1938;1940
177;A1;2010;2025
178;A2;2000;2007
179;A3;1996;2025
180;A4;1994;2025
181;A4 allroad;2009;2025
182;A5;2007;2025
183;A6;1994;2025
184;A6 e-tron;2024;2025
185;A7;2010;2025
186;A8;1994;2025
187;A6 allroad;2000;2025
188;Cabriolet;1991;2000
189;Coupe;1980;1996
190;E5;2025;2025
191;e-tron;2018;2023
192;e-tron GT;2020;2025
193;e-tron S;2019;2022
194;e-tron Sportback;2019;2022
195;e-tron S Sportback;2019;2022
196;Front;1935;1938
197;NSU RO 80;1967;1977
198;Q2;2016;2025
199;Q3;2011;2025
200;Q3 Sportback;2019;2025
201;Q4 e-tron;2021;2025
202;Q4 Sportback e-tron;2021;2025
203;Q5;2008;2025
204;Q5 e-tron;2022;2025
205;Q5 Sportback;2020;2025
206;Q6;2022;2025
207;Q6 e-tron;2024;2025
208;Q6 Sportback e-tron;2024;2025
209;Q7;2005;2025
210;Q8;2018;2025
211;Q8 e-tron;2022;2025
212;Q8 Sportback e-tron;2022;2025
213;Quattro;1980;1991
214;R8;2007;2023
215;R8 LMP;2000;2005
216;RS 2;1993;1995
217;RS 3;2011;2025
218;RS 4;1999;2025
219;RS 5;2010;2025
220;RS 6;2002;2025
221;RS 7;2013;2025
222;RS Q3;2013;2025
223;RS e-tron GT;2020;2025
224;RS Q3 Sportback;2019;2025
225;RS Q8;2019;2025
226;S1;2014;2018
227;S2;1990;1995
228;S3;1999;2025
229;S4;1997;2025
230;S5;2007;2025
231;S6;1994;2025
232;S6 e-tron;2024;2025
233;S7;2012;2025
234;S8;1996;2025
235;SQ2;2018;2025
236;SQ5;2013;2025
237;SQ5 Sportback;2020;2025
238;SQ6 e-tron;2024;2025
239;SQ6 Sportback e-tron;2024;2025
240;SQ7;2016;2025
241;SQ8;2019;2025
242;SQ8 e-tron;2022;2025
243;SQ8 Sportback e-tron;2022;2025
244;S e-tron GT;2024;2025
245;TT;1998;2023
246;TTS;2007;2023
247;TT RS;2009;2023
248;Typ R;1927;1929
249;V8;1988;1994
250;Komendant;2022;2025
251;Lafet;2021;2025
252;Senat;2021;2025
253;Allegro;1973;1983
254;Ambassador;1982;1984
255;FL2;1958;1978
256;FX4;1958;1982
257;Maestro;1983;1997
258;Maxi;1969;1982
259;Metro;1980;1990
260;Mini;1967;1993
261;Montego;1984;1994
262;Princess;1972;1982
263;Sprite;1958;1971
264;100;1956;1959
265;3000;1959;1967
266;A 112;1969;1986
267;1000 Sp;1958;1965
268;06;2025;2025
269;07;2024;2025
270;11;2022;2025
271;12;2023;2025
272;2160;1990;1999
273;2163;1990;1993
274;3101;1990;1993
275;A1;2012;2018
276;BJ2021;1984;2005
277;BJ2025F;1985;2005
278;BJ2030;1993;2012
279;BJ30;2020;2025
280;BJ40;2013;2025
281;BJ60;2022;2025
282;BJ80;2016;2025
283;BJ90;2016;2023
284;BJ2020;1989;2005
285;BJ2026;2011;2015
286;BJ212;1964;2025
287;EC3;2018;2020
288;EU;2015;2017
289;EU5;2018;2025
290;EU7;2019;2025
291;EX3;2019;2022
292;EX5;2019;2022
293;Jeep 2500;2003;2005
294;Kenbo 600;2015;2020
295;Luba (XB624);2000;2017
296;Ruixiang X5;2021;2025
297;U5;2014;2022
298;U5 Plus;2021;2025
299;U7;2018;2025
300;X3;2019;2025
301;X35;2019;2025
302;X5;2015;2025
303;X55;2022;2025
304;X7;2020;2025
305;X75;2024;2025
306;Qute;2016;2025
307;BD-1322;1998;2001
308;510;2017;2023
309;530;2018;2021
310;E100;2017;2021
311;E300;2020;2021
312;Kiwi EV;2021;2025
313;RC-5;2020;2021
314;RC-6;2019;2021
315;RM-5;2019;2021
316;RS-3;2019;2021
317;RS-5;2019;2021
318;Valli;2021;2022
319;Xiangjing;2025;2025
320;Yep;2023;2025
321;Yep Plus;2024;2025
322;Yunduo;2023;2025
323;Yunhai;2024;2025
324;1989;1989;1992
325;2018;2018;2018
326;212;2020;2023
327;212 T01;2024;2025
328;Ace M7;2022;2025
329;Calorie F7;2022;2025
330;Jiabao;2023;2025
331;MPV;2025;2025
332;Pony (Yuanbao);2022;2025
333;S50;2024;2025
334;X50;2023;2025
335;X70;2024;2025
336;X80;2025;2025
337;Arnage;1998;2009
338;Azure;1995;2009
339;Bentayga;2015;2025
340;Brooklands;1992;2011
341;Continental;1984;2003
342;Continental Flying Spur;2005;2012
343;Continental GT;2003;2025
344;Eight;1984;1992
345;Flying Spur;2013;2025
346;Mark VI;1946;1952
347;Mulliner Bacalar;2021;2025
348;Mulliner Batur;2022;2025
349;Mulsanne;1980;2020
350;R Type;1952;1955
351;S;1955;1965
352;Turbo R;1985;1999
353;T-Series;1965;1980
354;Freeclimber;1989;1995
355;B70;2020;2025
356;T55;2022;2025
357;T77;2020;2025
358;T90;2024;2025
359;Vintage;2015;2016
360;evA-4;2009;2020
361;CD;1973;1979
362;Type 3;1987;1988
363;FH-EQ;2021;2023
364;02 (E10);1966;1977
365;1 серии;2004;2025
366;1M;2010;2012
367;2 серии Active Tourer;2014;2025
368;2 серии;2014;2025
369;2 серии Gran Tourer;2015;2022
370;315;1934;1937
371;3200;1962;1965
372;321;1937;1950
373;326;1936;1946
374;327;1937;1941
375;340;1949;1953
376;3 серии;1975;2025
377;3/15;1927;1932
378;4 серии;2013;2025
379;501;1952;1958
380;502;1954;1961
381;503;1956;1959
382;507;1956;1959
383;5 серии;1972;2025
384;600;1957;1959
385;6 серии;1976;2025
386;700;1959;1965
387;7 серии;1977;2025
388;8 серии;1989;2025
389;E3;1968;1977
390;E9;1968;1975
391;i3;2013;2025
392;i4;2021;2025
393;i5;2023;2025
394;i7;2022;2025
395;i8;2014;2020
396;Isetta;1955;1962
397;iX;2021;2025
398;iX1;2022;2025
399;iX2;2023;2025
400;iX3;2020;2025
401;iX5;2023;2025
402;M2;2015;2025
403;M3;1986;2025
404;M4;2014;2025
405;M5;1985;2025
406;M6;1984;2018
407;M8;2019;2025
408;M1;1978;1981
409;Nazca;1991;1993
410;New Class;1962;1971
411;X1;2009;2025
412;X2;2017;2025
413;X3;2003;2025
414;X3 M;2019;2025
415;X4;2014;2025
416;X4 M;2019;2025
417;X5;1999;2025
418;X5 M;2009;2025
419;X6;2007;2025
420;X6 M;2009;2025
421;X7;2019;2025
422;XM;2022;2025
423;Z1;1988;1991
424;Z3;1995;2002
425;Z3 M;1997;2002
426;Z4;2002;2025
427;Z4 M;2006;2009
428;Z8;2000;2003
429;2000;1939;1942
430;BX5;2017;2021
431;Hansa 1100;1934;1939
432;7.3S;1991;1998
433;Crawler;2022;2025
434;E V12;1996;2013
435;G V12;2004;2006
436;ML 63 Biturbo;2009;2011
437;M V12;1997;2001
438;Rocket GTS;2024;2025
439;SV12;2009;2013
440;FRV (BS2);2008;2013
441;H230;2012;2017
442;H530;2011;2020
443;M1 (BS6);2004;2012
444;M2 (BS4);2006;2012
445;M3 (BC3);2007;2011
446;V3;2015;2020
447;V5;2011;2020
448;Blenheim;1993;2011
449;Blenheim Speedster;2003;2011
450;Fighter;2004;2011
451;Geneva;2010;2025
452;La Joya;2004;2018
453;Bolide;2024;2025
454;Centodieci;2022;2025
455;Chiron;2016;2023
456;Divo;2018;2021
457;EB 110;1991;1995
458;EB 112;1993;1998
459;EB Veyron 16.4;2003;2015
460;Tourbillon;2024;2025
461;Type 55;1932;1935
462;W16 Mistral;2024;2025
463;Cascada;2015;2019
464;Century;1973;2005
465;Electra;1959;1990
466;Electra E4;2023;2025
467;Electra E5;2022;2025
468;Electra L7;2025;2025
469;Enclave;2007;2025
470;Encore;2012;2022
471;Encore GX;2019;2025
472;Encore Plus;2023;2025
473;Envision;2014;2025
474;Envista;2022;2025
475;Estate Wagon;1977;1990
476;Excelle;2004;2023
477;GL6;2017;2023
478;GL8;2000;2025
479;GS;1970;1972
480;LaCrosse;2004;2025
481;LeSabre;1959;2005
482;Limited;1958;1959
483;Lucerne;2005;2011
484;Park Avenue;1991;2012
485;Rainier;2003;2007
486;Reatta;1988;1991
487;Regal;1973;2025
488;Rendezvous;2001;2007
489;Riviera;1966;1999
490;Roadmaster;1942;1996
491;Skyhawk;1974;1989
492;Skylark;1975;1998
493;Special;1936;1958
494;Super;1942;1953
495;Terraza;2005;2007
496;Velite 6;2019;2025
497;Verano;2011;2025
498;Wildcat;1963;1970
499;Atto 2;2025;2025
500;Chazor;2024;2025
501;D1;2020;2025
502;Destroyer 05;2022;2025
503;Dolphin;2021;2025
504;E1;2019;2021
505;E2;2019;2025
506;E3;2019;2023
507;E5;2015;2020
508;E6;2011;2025
509;E7;2025;2025
510;E9;2021;2025
511;F0;2008;2015
512;F3;2005;2021
513;F5;2014;2018
514;F6;2007;2012
515;F8 (S8);2009;2010
516;FangChengBao Leopard 5;2023;2025
517;FangChengBao Leopard 8;2024;2025
518;FangChengBao Titanium 3;2024;2025
519;FangChengBao Titanium 7;2025;2025
520;Flyer;2005;2008
521;Frigate 07;2022;2025
522;G3;2009;2014
523;G6;2011;2013
524;Han;2020;2025
525;Han L;2025;2025
526;L3;2010;2015
527;M6;2010;2015
528;Qin;2018;2025
529;S6;2011;2015
530;Seagull;2023;2025
531;Seal;2022;2025
532;Seal 05;2025;2025
533;Seal 06;2024;2025
534;Seal 06 GT;2024;2025
535;Seal 07;2024;2025
536;Sea Lion 05;2024;2025
537;Sea Lion 06;2025;2025
538;Sea Lion 07;2024;2025
539;Shark;2024;2025
540;Song;2015;2022
541;Song EV;2016;2019
542;Song L;2023;2025
543;Song Max;2017;2025
544;Song Plus;2020;2025
545;Song Pro;2019;2025
546;Tang;2015;2025
547;Tang L;2025;2025
548;Xia;2024;2025
549;Yangwang U7;2024;2025
550;Yangwang U8;2023;2025
551;Yangwang U9;2024;2025
552;Yuan;2016;2023
553;Yuan Plus;2021;2025
554;Yuan Up;2024;2025
555;BD132J (CoCo);2011;2016
556;BD326J (Moca);2011;2016
557;Allante;1989;1996
558;ATS;2012;2019
559;ATS-V;2015;2019
560;BLS;2006;2009
561;Brougham;1987;1992
562;Catera;1996;2001
563;Celestiq;2024;2025
564;CT4;2019;2025
565;CT4-V;2019;2025
566;CT5;2019;2025
567;CT5-V;2019;2025
568;CT6;2016;2025
569;CTS;2002;2019
570;CTS-V;2004;2019
571;DeVille;1958;2005
572;DTS;2005;2011
573;Eldorado;1953;2002
574;ELR;2013;2016
575;Escalade;1998;2025
576;Escalade iQ;2024;2025
577;Escalade-V;2022;2025
578;Fleetwood;1956;1996
579;GT4;2023;2025
580;Lyriq-V;2025;2025
581;LSE;1993;1996
582;Lyriq;2022;2025
583;Model 30;1909;1914
584;Optiq;2024;2025
585;Optiq-V;2025;2025
586;Series 314;1925;1927
587;Series 341;1927;1929
588;Series 62;1940;1956
589;Seville;1975;2004
590;Sixty Special;1971;1976
591;SRX;2003;2016
592;STS;2004;2011
593;STS-V;2005;2009
594;Vistiq;2025;2025
595;XLR;2003;2009
596;XT4;2018;2025
597;XT5;2016;2025
598;XT6;2019;2025
599;XTS;2012;2019
600;C12;1998;2003
601;FX4;1982;1995
602;21;1994;2000
603;CSR;2005;2025
604;Seven;1992;2025
605;Benni;2006;2011
606;SC6390;2006;2011
607;Taurustar;2010;2015
608;Alsvin;2018;2025
609;Alsvin V7;2014;2018
610;Auchan A600 EV;2018;2022
611;Benben E-Star;2020;2024
612;Benni;2006;2014
613;Benni EC/EV;2018;2020
614;CM-8;2008;2015
615;CS15;2016;2025
616;CS35;2013;2022
617;CS35 Plus;2018;2025
618;CS55;2017;2023
619;CS55 Plus;2019;2025
620;CS75;2014;2025
621;CS75 Plus;2019;2025
622;CS75 Pro;2025;2025
623;CS85;2019;2025
624;CS95;2017;2025
625;CS95 Plus;2023;2025
626;CX20;2011;2016
627;Oshan CX70;2016;2019
628;Deepal G318;2024;2025
629;Deepal L06;2025;2025
630;Deepal L07;2024;2025
631;Deepal S05;2024;2025
632;Deepal S09;2024;2025
633;Eado;2013;2025
634;Eado Plus;2020;2025
635;Lantuozhe (Explorer);2022;2025
636;Hunter;2020;2025
637;Hunter Plus;2023;2025
638;Kaicene F70;2019;2025
639;Lamore;2023;2025
640;Linmax;2017;2020
641;Lumin;2022;2025
642;Oushan Changxing;2018;2022
643;Raeton;2013;2019
644;Raeton CC;2017;2025
645;Raeton Plus;2022;2025
646;Deepal S07 (S7);2023;2025
647;Deepal SL03;2022;2025
648;UNI-K;2020;2025
649;UNI-L;2024;2025
650;UNI-S (CS55 Plus);2024;2025
651;UNI-T;2020;2025
652;UNI-V;2022;2025
653;UNI-Z;2024;2025
654;X5 Plus;2024;2025
655;X7 Plus;2024;2025
656;Yida;2023;2025
657;Z-Shine;2008;2010
658;SUV (CS6);2007;2009
659;Flying;2005;2014
660;Liebao Leopard;1999;2014
661;Freedom;2007;2014
662;Ideal;2003;2016
663;Amulet (A15);2003;2012
664;Arrizo 6;2018;2021
665;Arrizo 7;2013;2018
666;Arrizo 3;2014;2018
667;Arrizo 5;2016;2025
668;Arrizo 5 GT;2022;2025
669;Arrizo 5 Plus;2020;2025
670;Arrizo 8;2022;2025
671;Arrizo 8 Pro;2025;2025
672;B13;2006;2008
673;Bonus (A13);2011;2014
674;Bonus 3 (E3/A19);2014;2017
675;CrossEastar (B14);2006;2014
676;Domi;2025;2025
677;E5;2011;2016
678;eQ1;2017;2025
679;eQ5;2020;2022
680;eQ7;2023;2025
681;Explore 06;2023;2025
682;Face;2006;2015
683;Fora (A21);2006;2011
684;Fulwin A8;2023;2025
685;Fulwin A9L;2025;2025
686;Fulwin T10;2024;2025
687;Fulwin T11;2025;2025
688;Fulwin T6;2024;2025
689;Fulwin T8;2025;2025
690;Fulwin T9;2024;2025
691;Fulwin X3;2025;2025
692;IndiS (S18D);2010;2015
693;Karry;2007;2010
694;Kimo (A1);2007;2014
695;M11 (A3);2010;2015
696;Omoda 5;2022;2025
697;Oriental Son (B11);2003;2012
698;Q22;2009;2022
699;Sweet (QQ);2003;2015
700;QQ6 (S21);2006;2010
701;QQme;2009;2011
702;QQ Ice Cream;2021;2025
703;Rely R08;2025;2025
704;Tiggo (T11);2005;2016
705;Tiggo 2;2016;2021
706;Tiggo 2 Pro;2021;2025
707;Tiggo 3;2014;2020
708;Tiggo 3x;2016;2023
709;Tiggo 3xe;2018;2021
710;Tiggo 4;2017;2025
711;Tiggo 4 Pro;2020;2025
712;Tiggo 5;2014;2020
713;Tiggo 5x;2017;2025
714;Tiggo 7;2016;2025
715;Tiggo 7L;2024;2025
716;Tiggo 7 Plus;2021;2025
717;Tiggo 7 Pro;2020;2024
718;Tiggo 7 Pro Max;2022;2025
719;Tiggo 7 Pro Plug-in Hybrid;2023;2025
720;Tiggo 8;2018;2025
721;Tiggo 8L;2024;2025
722;Tiggo 8 Plus;2020;2025
723;Tiggo 8 Pro;2021;2025
724;Tiggo 8 Pro e+;2021;2024
725;Tiggo 8 Pro Max;2022;2025
726;Tiggo 8 Pro Plug-in Hybrid;2023;2025
727;Tiggo 9;2023;2025
728;Tiggo E;2019;2022
729;Very (A13);2011;2014
730;Windcloud (A11);1999;2006
731;Sterra ES;2023;2025
732;ET8;2025;2025
733;Exlantix ES;2024;2025
734;Exlantix ET;2024;2025
735;LX;2019;2025
736;RX;2023;2025
737;Sterra ET;2024;2025
738;TX;2021;2025
739;TXL;2019;2025
740;VX;2021;2025
741;Yaoguang;2023;2025
742;3000-Series;1947;1955
743;Alero;1999;2004
744;Apache;1955;1960
745;Astra;1998;2011
746;Astro;1985;2005
747;Avalanche;2001;2013
748;Aveo;2002;2025
749;Bel Air;1949;1957
750;Beretta;1987;1996
751;Blazer;1982;2025
752;Blazer EV;2023;2025
753;Bolt;2016;2023
754;Bolt EUV;2021;2023
755;Camaro;1967;2024
756;Caprice;1965;2017
757;Captiva;2006;2025
758;Captiva Sport;2008;2016
759;Cavalier;1982;2005
760;Celebrity;1982;1990
761;Celta;2000;2006
762;Chevelle;1963;1977
763;Chevette;1975;1987
764;Citation;1980;1985
765;C/K;1967;2000
766;Classic;2004;2008
767;Matiz;2004;2010
768;Cobalt;2004;2025
769;Colorado;2004;2025
770;Corsa;1994;2001
771;Corsica;1987;1996
772;Corvair;1959;1969
773;Corvette;1953;2025
774;Cruze;2008;2023
775;Cruze (HR);2001;2008
776;CSV CR8;2008;2009
777;C-10;1960;1988
778;Damas;2019;2025
779;Deluxe;1949;1952
780;El Camino;1959;1987
781;Epica;2003;2012
782;Equinox;2004;2025
783;Evanda;2000;2006
784;Express;1996;2025
785;Fleetmaster;1946;1948
786;Groove;2020;2025
787;HHR;2005;2011
788;Impala;1958;2020
789;Blazer K5;1972;1994
790;Kalos;2003;2008
791;Lacetti;2004;2024
792;Lanos;2002;2009
793;Lumina;1989;2001
794;Lumina APV;1989;1996
795;LUV D-MAX;2006;2011
796;Malibu;1978;2025
797;Master;1933;1940
798;Menlo;2020;2025
799;Metro;1997;2001
800;Monte Carlo;1970;2007
801;Monza;1975;2025
802;MW;2001;2010
803;Nexia;2017;2023
804;Niva;2002;2020
805;Nova;1967;1988
806;Nubira;2003;2010
807;Omega;1992;2007
808;Onix;2012;2025
809;Orlando;2010;2023
810;Prizm;1997;2002
811;Rezzo;2000;2008
812;Sail;2010;2014
813;Seeker;2022;2025
814;Silverado;1998;2025
815;Sonic;2011;2020
816;Spark;2005;2023
817;Spark EUV;2025;2025
818;Special DeLuxe;1941;1948
819;Spin;2012;2018
820;SS;2013;2017
821;SSR;2003;2006
822;Standard;1934;1936
823;Starcraft;1992;1996
824;Suburban;1941;2025
825;S-10 Pickup;1982;2012
826;Tacuma;2000;2008
827;Tahoe;1994;2025
828;Tavera;2002;2017
829;Tracker;1989;2025
830;TrailBlazer;2001;2025
831;Trans Sport;1996;2005
832;Traverse;2008;2025
833;Trax;2013;2025
834;Uplander;2004;2008
835;Van;1971;1996
836;Vectra;1993;2002
837;Venture;1996;2005
838;Viva;2004;2008
839;Volt;2010;2019
840;Zafira;2001;2012
841;180;1970;1982
842;200;2010;2017
843;300;1969;1971
844;300C;2004;2023
845;300M;1998;2004
846;300 Letter Series;1955;1957
847;Aspen;2006;2008
848;Cirrus;1994;2000
849;Concorde;1992;2004
850;Cordoba;1975;1983
851;Crossfire;2003;2007
852;Daytona;1986;1993
853;Dynasty;1988;1993
854;ES;1988;1991
855;Fifth Avenue;1982;1993
856;Imperial;1926;1993
857;Imperial Crown;1963;1975
858;Intrepid;1993;2004
859;LeBaron;1977;1995
860;LHS;1993;2001
861;Nassau;2007;2007
862;Neon;1994;2004
863;Newport;1968;1978
864;New Yorker;1949;1996
865;Pacifica;2003;2025
866;Prowler;2001;2002
867;PT Cruiser;2000;2010
868;Saratoga;1989;1995
869;Sebring;1994;2010
870;Six;1924;1935
871;Stratus;1994;2000
872;TC by Maserati;1989;1991
873;Town & Country;1941;2016
874;Viper;1992;2002
875;Vision;1992;1997
876;Voyager;1984;2025
877;Windsor;1953;1954
878;Ypsilon;2011;2017
879;M-NV;2020;2025
880;X-NV;2019;2021
881;2 CV;1963;1990
882;Ami;1961;1978
883;Ami EV;2020;2025
884;AX;1986;1998
885;Basalt;2024;2025
886;Berlingo;1996;2025
887;BX;1982;1994
888;C1;2005;2022
889;C2;2003;2009
890;C3;2002;2025
891;C3L;2020;2021
892;C3 Aircross;2017;2025
893;C3 Picasso;2008;2017
894;C3-XR;2014;2023
895;C4;2004;2025
896;C4 Aircross;2012;2017
897;C4 Cactus;2014;2025
898;C4 Picasso;2006;2018
899;C4 SpaceTourer;2018;2022
900;C5;2000;2017
901;C5 Aircross;2018;2025
902;C5 X;2021;2025
903;C6;2004;2023
904;C8;2002;2014
905;CX;1974;1991
906;C-Crosser;2007;2013
907;C-Elysee;2012;2022
908;C-Quatre;2008;2016
909;C-Triomphe;2006;2010
910;C-ZERO;2010;2012
911;DS;1955;1976
912;DS3;2009;2015
913;DS4;2010;2015
914;DS5;2012;2015
915;Dyane;1967;1984
916;Evasion;1994;2002
917;E-Mehari;2016;2019
918;GS;1971;1986
919;Jumpy;1994;2025
920;LN;1976;1986
921;Nemo;2007;2017
922;Saxo;1996;2003
923;SM;1970;1975
924;SpaceTourer;2016;2025
925;Traction Avant;1934;1957
926;Visa;1978;1991
927;Xantia;1992;2002
928;XM;1989;2000
929;Xsara;1997;2006
930;Xsara Picasso;1999;2012
931;ZX;1991;1998
932;V16t;1991;1995
933;EV;2012;2013
934;T Rex;2000;2016
935;L-29;1929;1932
936;Showjet;2020;2022
937;Ateca;2018;2025
938;Born;2021;2025
939;Formentor;2020;2025
940;Leon;2020;2025
941;Tavascan;2023;2025
942;Terramar;2024;2025
943;1300;1969;1978
944;1310;1979;2004
945;1410;1984;2004
946;Bigster;2024;2025
947;Dokker;2012;2021
948;Duster;2010;2025
949;Jogger;2021;2025
950;Lodgy;2012;2022
951;Logan;2004;2025
952;Nova;1995;2000
953;Pick-Up;1975;2006
954;Sandero;2007;2025
955;Solenza;2003;2005
956;Spring;2021;2025
957;SuperNova;2000;2003
958;City Leading;2004;2007
959;Shuttle;2005;2007
960;Smoothing;2006;2007
961;Alpheon;2010;2015
962;Arcadia;1994;1999
963;Chairman;1999;2002
964;Damas;1991;2011
965;Espero;1990;1999
966;Evanda;2002;2005
967;G2X;2007;2008
968;Gentra;2005;2015
969;Kalos;2002;2007
970;Korando;1999;2001
971;Lacetti;2002;2010
972;Lacetti Premiere;2008;2011
973;Lanos;1997;2008
974;Leganza;1997;2008
975;LeMans;1986;1994
976;Magnus;2000;2006
977;Matiz;1998;2016
978;Matiz Creative;2009;2011
979;Musso;1999;2002
980;Nexia;1994;2016
981;Nubira;1997;2005
982;Prince;1991;1999
983;Racer;1986;1997
984;Rezzo;2000;2008
985;Royale;1981;1992
986;Sens;2002;2009
987;Tacuma;2000;2011
988;Tico;1991;2001
989;Tosca;2006;2011
990;Winstorm;2006;2011
991;Altis;2000;2021
992;Applause;1989;2000
993;Atrai;1981;2025
994;Bee;1951;1952
995;Be-go;2006;2016
996;Boon;2004;2023
997;Boon Luminas;2008;2012
998;Cast;2015;2023
999;Ceria;2001;2006
1000;Charade;1977;2000
1001;Charmant;1981;1987
1002;Coo;2006;2013
1003;Copen;2002;2025
1004;Cuore;1980;2013
1005;Delta Wagon;1986;2001
1006;Esse;2005;2011
1007;Extol;1999;2004
1008;Fellow;1966;1976
1009;Feroza;1989;1999
1010;Gran Move;1996;2002
1011;Hijet;1981;2025
1012;Hijet Caddie;2016;2021
1013;Leeza;1986;1993
1014;Materia;2006;2013
1015;MAX;2000;2005
1016;Mebius;2013;2021
1017;Midget;1996;2002
1018;Mira;1994;2018
1019;Mira Cocoa;2009;2018
1020;Mira e:S;2011;2023
1021;Mira Gino;1999;2009
1022;Mira Tocot;2018;2023
1023;Move;1995;2025
1024;Move Canbus;2016;2025
1025;Move Conte;2008;2017
1026;Move Latte;2004;2009
1027;Naked;2000;2004
1028;Opti;1992;2002
1029;Pyzar;1996;2002
1030;Rocky;1989;2025
1031;Rugger;1984;2002
1032;Sirion;1998;2015
1033;Sonica;2006;2009
1034;Storia;1998;2004
1035;Taft;1974;2025
1036;Tanto;2003;2025
1037;Tanto Exe;2009;2014
1038;Terios;1997;2025
1039;Thor;2016;2025
1040;Trevis;2006;2011
1041;Wake;2014;2022
1042;Wildcat;1985;1987
1043;Xenia;2003;2011
1044;YRV;2000;2005
1045;DS420;1968;1992
