id;name;year_from;year_to;country
58;Callaway;1998;2003;США
59;Carbodies;1982;1995;Великобритания
60;Caterham;1992;2025;Великобритания
61;Chana;2006;2015;Китай
62;Changan;2006;2025;Китай
63;Changfeng;1999;2014;Китай
64;Changhe;2003;2016;Китай
65;Chery;1999;2025;Китай
66;Exeed;2019;2025;Китай
67;Chevrolet;1933;2025;США
68;Chrysler;1924;2025;США
69;Ciimo (Dongfeng-Honda);2019;2025;Китай
70;Citroen;1934;2025;Франция
71;Cizeta;1991;1995;Италия
72;Coda;2012;2013;США
73;Coggiola;2000;2016;Италия
74;Cord;1929;1932;США
75;Cowin;2020;2022;Китай
76;Cupra;2018;2025;Испания
77;Dacia;1969;2025;Румыния
78;Dadi;2004;2007;Китай
79;Daewoo;1981;2016;Южная Корея
80;Daihatsu;1951;2025;Япония
81;Daimler;1951;2009;Великобритания
82;Dallara;2017;2025;Италия
83;Datsun;1970;2022;Япония
84;Dayun;2018;2025;Китай
85;Deco Rides;1999;2025;США
86;Delage;1923;2025;Франция
87;DeLorean;1981;1982;США
88;Denza;2014;2025;Китай
89;Derways;2004;2008;Россия
90;DeSoto;1946;1960;США
91;De Tomaso;1964;2002;Италия
92;DKW;1953;1955;Германия
93;Dodge;1937;2025;США
94;Dongfeng;2007;2025;Китай
95;Doninvest;1998;2002;Россия
96;Donkervoort;1993;2025;Нидерланды
97;DR;2022;2025;Италия
98;DS;2015;2025;Франция
99;DW Hower;2017;2019;Россия
100;Eagle;1987;1999;США
101;Eagle Cars;1982;1998;Великобритания
102;Enovate (Enoreve);2020;2023;Китай
103;Eonyx;2025;2025;Россия
104;Everus;2018;2025;Китай
105;Evolute;2022;2025;Россия
106;Excalibur;1980;1997;США
107;E-Car;2012;2014;Китай
108;Ё-мобиль;2013;2013;Россия
109;Facel Vega;1954;1958;Франция
110;FAW;2005;2025;Китай
111;Ferrari;1955;2025;Италия
112;Fiat;1932;2025;Италия
113;Fisker;2009;2025;США
114;Flanker;2018;2018;Россия
115;Ford;1908;2025;США
116;Forthing;2013;2025;Китай
117;Foton;2007;2025;Китай
118;Franklin;1930;1934;США
119;FSO;1964;2008;Польша
120;FSR;1973;1995;Польша
121;Fuqi;2005;2005;Китай
122;GAC;2016;2025;Китай
123;ГАЗ;1932;2025;Россия
124;Geely;1998;2025;Китай
125;Genesis;2016;2025;Южная Корея
126;Geo;1988;2002;США
127;GMA;2022;2025;Великобритания
128;GMC;1957;2025;США
129;Goggomobil;1955;1969;Германия
130;Gonow;2008;2016;Китай
131;Gordon;1997;2025;Чехия
132;GP;1980;1999;Великобритания
133;Great Wall;1996;2025;Китай
134;Hafei;2002;2018;Китай
135;Haima;2003;2025;Китай
136;Hanomag;1934;1941;Германия
137;Hanteng;2016;2021;Китай
138;Haval;2014;2025;Китай
139;Hawtai;2011;2020;Китай
140;Hedmos;2025;2025;Китай
141;Heinkel;1956;1958;Германия
142;Hennessey;2011;2025;США
143;Hindustan;1979;2014;Индия
144;HiPhi;2020;2024;Китай
145;Hispano-Suiza;1934;1937;Испания
146;Holden;1988;2013;Австралия
147;Honda;1963;2025;Япония
148;Hongqi;2013;2025;Китай
149;Horch;1933;1943;Германия
150;Hozon;2020;2025;Китай
151;HSV;2013;2017;Австралия
152;Huaihai (Hoann);2020;2023;Китай
153;HuangHai;2006;2025;Китай
154;Huazi;2023;2025;Китай
155;Hudson;1916;1937;США
156;Humber;1962;1964;Великобритания
157;Hummer;1992;2010;США
158;Hycan;2020;2025;Китай
159;Hyperion;2022;2024;США
160;Hyundai;1975;2025;Южная Корея
161;iCar;2023;2025;Китай
162;iCaur;2025;2025;Китай
163;Иж;1967;2012;Россия
164;IM Motors (Zhiji);2022;2025;Китай
165;Ineos;2022;2025;Великобритания
166;Infiniti;1989;2025;Япония
167;Innocenti;1965;1997;Италия
168;International Harvester;1969;1980;США
169;Invicta;2004;2012;Великобритания
170;Iran Khodro;1985;2025;Иран
171;Isdera;1983;1993;Германия
172;Isuzu;1963;2025;Япония
173;Iveco;2007;2011;Италия
174;JAC;2006;2025;Китай
175;Jaecoo;2023;2025;Китай
176;Jaguar;1948;2025;Великобритания
177;Jeep;1966;2025;США
178;Jensen;1966;2003;Великобритания
179;JETOUR;2018;2025;Китай
180;Jetta;2019;2025;Китай
181;Jiangnan;2005;2006;Китай
182;Jidu;2024;2025;Китай
183;Jinbei;2000;2023;Китай
184;JMC;2006;2025;Китай
185;JMEV;2022;2025;Китай
186;Jonway;2005;2015;Китай
187;Kaiyi;2020;2025;Китай
188;Канонир;1999;2001;Россия
189;Karma;2016;2025;США
190;Kawei;2014;2023;Китай
191;KGM;2023;2025;Южная Корея
192;Kia;1987;2025;Южная Корея
193;Knewstar;2024;2025;Китай
194;Koenigsegg;2002;2025;Швеция
195;Комбат;2000;2025;Россия
196;KTM AG;2008;2025;Австрия
197;KYC;2021;2025;Китай
198;Lamborghini;1964;2025;Италия
199;Lancia;1922;2025;Италия
200;Landwind;2005;2020;Китай
201;Land Rover;1948;2025;Великобритания
202;Leapmotor;2019;2025;Китай
203;Letin;2020;2025;Китай
204;LEVC;2018;2025;Великобритания
205;Lexus;1989;2025;Япония
206;Liebao Motor;1999;2014;Китай
207;Lifan;2007;2020;Китай
208;Ligier;2009;2016;Франция
209;Lincoln;1936;2025;США
210;Lingxi;2024;2025;Китай
211;Livan;2022;2025;Китай
212;Lixiang;2019;2025;Китай
213;Logem;2018;2020;Китай
214;Lotus;1970;2025;Великобритания
215;LTI;1984;2010;Великобритания
216;ЛуАЗ;1965;2001;Украина
217;Lucid;2021;2025;США
218;Luxeed;2023;2025;Китай
219;Luxgen;2009;2025;Тайвань
220;Lynk & Co;2017;2025;Китай
221;Maextro;2025;2025;Китай
222;Mahindra;1985;2025;Индия
223;Maple;2020;2022;Китай
224;Marcos;1994;2007;Великобритания
225;Marlin;2003;2019;Великобритания
226;Marussia;2010;2014;Россия
227;Maruti;1983;2019;Индия
228;Maserati;1967;2025;Италия
229;Matra;1980;1983;Франция
230;Maxus;2013;2025;Китай
231;Maybach;1936;2012;Германия
232;Mazda;1960;2025;Япония
233;McLaren;1992;2025;Великобритания
234;Mega;1992;2000;Франция
235;Mercedes-Benz;1904;2026;Германия
236;Mercury;1949;2011;США
237;Merkur;1985;1989;США
238;Messerschmitt;1952;1964;Германия
239;Metrocab;1987;2006;Великобритания
240;MG;1950;2025;Великобритания
241;Micro;2022;2025;Швейцария
242;Microcar;1999;2025;Франция
243;Minelli;1998;2001;Швейцария
244;Mini;2000;2025;Великобритания
245;Mitsubishi;1953;2025;Япония
246;Mitsuoka;1987;2025;Япония
247;Mobilize;2022;2023;Франция
248;Morgan;1950;2025;Великобритания
249;Morris;1935;1980;Великобритания
250;Москвич;1946;2025;Россия
251;M-Hero;2023;2025;Китай
252;Nash;1932;1942;США
253;Nevo;2023;2025;Китай
254;Nio;2018;2025;Китай
255;Nissan;1962;2025;Япония
256;Noble;2000;2018;Великобритания
257;Nordcross;2025;2025;Китай
258;Oldsmobile;1939;2004;США
259;Omoda;2022;2025;Китай
260;Opel;1909;2025;Германия
261;Ora;2018;2025;Китай
262;Orange;2021;2025;Китай
263;Osca;1999;2001;Италия
264;Oshan;2018;2025;Китай
265;Oting;2023;2025;Китай
266;Overland;1914;1915;США
267;Packard;1912;1956;США
268;Pagani;1999;2025;Италия
269;Panoz;1992;2007;США
270;Perodua;1994;2025;Малайзия
271;Peugeot;1929;2025;Франция
272;PGO;2005;2025;Франция
273;Piaggio;1992;2021;Италия
274;Pierce-Arrow;1932;1938;США
275;Plymouth;1933;2002;США
276;Polar Stone (Jishi);2023;2025;Китай
277;Polestar;2019;2025;Швеция
278;Pontiac;1939;2010;США
279;Porsche;1948;2025;Германия
280;Premier;1964;2001;Индия
281;Спортивные авто и реплики;1943;2025;Россия
282;Proton;1985;2025;Малайзия
283;Puch;1971;2000;Германия
284;Puma;1967;1995;Бразилия
285;Punk;2021;2025;Китай
286;Qiantu;2018;2020;Китай
287;Qingling;2021;2025;Китай
288;Qoros;2014;2022;Китай
289;Qvale;1999;2002;Италия
290;Radar;2022;2025;Китай
291;Radford;2022;2025;Великобритания
292;Ram;2011;2025;США
293;Ravon;2015;2020;Узбекистан
294;Rayton Fissore;1985;1993;Италия
295;Reliant;1984;1992;Великобритания
296;Renaissance;1995;1995;США
297;Renault;1929;2025;Франция
298;Rezvani;2015;2025;США
299;Rimac;2013;2025;Хорватия
300;Rinspeed;2004;2005;Швейцария
301;Rising Auto;2020;2024;Китай
302;Rivian;2021;2025;США
303;Roewe;2006;2025;Китай
304;Rolls-Royce;1905;2025;Великобритания
305;Ronart;2000;2013;Великобритания
306;Rossa;2023;2025;Россия
307;Rover;1933;2005;Великобритания
308;Rox;2024;2025;Китай
309;Руссо-Балт;1909;1918;Россия
310;Saab;1956;2014;Швеция
311;SAIC;2025;2025;Китай
312;Saipa;2009;2025;Иран
313;Saleen;2000;2009;США
314;Renault Samsung;1998;2024;Южная Корея
315;Sandstorm;2019;2025;Объединённые Арабские Эмираты
316;Santana;2003;2011;Испания
317;Saturn;1990;2010;США
318;Scion;2003;2016;США
319;Scout;2027;2027;США
320;Sears;1908;1912;США
321;SEAT;1973;2025;Испания
322;Seres;2019;2025;Китай
323;Shanghai Maple;2004;2010;Китай
324;Shangjie;2025;2025;None
325;ShuangHuan;2006;2016;Китай
326;Simca;1963;1979;Франция
327;Skoda;1934;2025;Чехия
328;Skywell;2021;2025;Китай
329;Skyworth;2021;2025;Китай
330;Smart;1998;2025;Германия
331;СМЗ;1952;1997;Россия
332;Solaris;2022;2025;Россия
333;Sollers;2023;2025;Россия
334;Soueast;2004;2025;Китай
335;Spectre;1996;1997;Великобритания
336;Spyker;2001;2025;Дания
337;SsangYong;1987;2023;Южная Корея
338;Stelato;2024;2025;Китай
339;Steyr;1941;1974;Австрия
340;Studebaker;1956;1958;США
341;Subaru;1958;2025;Япония
342;Suzuki;1970;2025;Япония
343;SWM;2016;2025;Китай
344;ТагАЗ;2008;2014;Россия
345;Talbot;1970;1987;Великобритания
346;Tank;2021;2025;Китай
347;Tata;1993;2025;Индия
348;Tatra;1931;1999;Чехия
349;Tazzari;2009;2016;Италия
350;Tenet;2025;2025;Россия
351;Tesla;2008;2025;США
352;Thairung;2019;2025;Таиланд
353;Think;2008;2012;Норвегия
354;Tianma;2005;2015;Китай
355;Tianye;2001;2007;Китай
356;Tofas;1971;2003;Турция
357;Toyota;1960;2025;Япония
358;Trabant;1958;1991;Германия
359;Tramontana;2007;2025;Испания
360;Triumph;1957;1984;Великобритания
361;GAC Trumpchi;2016;2025;Китай
362;TVR;1976;2006;Великобритания
363;УАЗ;1972;2025;Россия
364;Ultima;1999;2025;Великобритания
365;Vauxhall;1948;2025;Великобритания
366;Lada (ВАЗ);1970;2026;Россия
367;Vector;1989;2000;США
368;Venturi;1984;2000;Франция
369;Venucia;2021;2025;Китай
370;VGV;2019;2025;Китай
371;VinFast;2019;2025;Вьетнам
372;Volga;2024;2025;Россия
373;Volkswagen;1938;2025;Германия
374;Volvo;1947;2025;Швеция
375;Vortex;2008;2014;Россия
376;Voyah;2021;2025;Китай
377;VUHL;2013;2025;Мексика
378;Wanderer;1933;1941;Германия
379;Wartburg;1966;1991;Германия
380;Weltmeister;2018;2022;Китай
381;Westfield;1982;2025;Великобритания
382;Wey;2017;2025;Китай
383;Wiesmann;1993;2014;Германия
384;Willys;1920;1968;США
385;Wuling;2012;2025;Китай
386;W Motors;2013;2025;Объединённые Арабские Эмираты
387;Xcite;2024;2025;Россия
388;XEV;2021;2025;Италия
389;Xiaomi;2023;2025;Китай
390;Xin Kai;2003;2006;Китай
391;Xpeng;2018;2025;Китай
392;Яндекс Ровер;2021;2025;Россия
393;Yema;2015;2025;Китай
394;Yipai;2024;2025;Китай
395;Yulon;1986;1995;Тайвань
396;Zastava;1973;2008;Сербия
397;ЗАЗ;1960;2017;Украина
398;Zeekr;2021;2025;Китай
399;Zenos;2014;2016;Великобритания
400;Zenvo;2009;2026;Дания
401;Zhido;2024;2025;Китай
402;Zibar;2010;2025;Израиль
403;ЗИЛ;1959;2002;Россия
404;ЗиС;1936;1958;Россия
405;Zotye;2005;2023;Китай
406;ZX;2005;2025;Китай
